game_id,name,date,player_count,gain,percentage_gain,followers,rank,positive_reviews,negative_reviews,positive_percentage
413150,Stardew Valley,October 2017,"13,714","+2,907",+26.9%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,September 2017,"10,807","-2,986",-21.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,August 2017,"13,793","-14,421",-51.1%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,July 2017,"28,214","+8,152",+40.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,June 2017,"20,062","+8,080",+67.4%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,May 2017,"11,982",+470,+4.1%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,April 2017,"11,512","-5,826",-33.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,March 2017,"17,338",-103,-0.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,February 2017,"17,441","-6,632",-27.5%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,January 2017,"24,073","+1,630",+7.3%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,December 2016,"22,443","+8,661",+62.8%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,November 2016,"13,782","-4,997",-26.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,October 2016,"18,779","+9,880",+111.0%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,September 2016,"8,899",-471,-5.0%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,August 2016,"9,370","-11,817",-55.8%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,July 2016,"21,187","+2,448",+13.1%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,June 2016,"18,739","+1,238",+7.1%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,May 2016,"17,501","-26,048",-59.8%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,April 2016,"43,549","-20,878",-32.4%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,March 2016,"64,427","+36,062",+127.1%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,February 2016,"28,365","+28,362","+945,400.0%","920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,January 2016,3,0,+0.0%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,December 2015,3,0,+0.0%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,November 2015,3,-,-,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
1145360,Hades,Last 30 days,"7,348",+799,+12.2%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,February 2025,"6,549",-544,-7.7%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,January 2025,"7,093",-420,-5.6%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,December 2024,"7,513",-591,-7.3%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,November 2024,"8,104","+3,388",+71.8%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,October 2024,"4,716",+78,+1.7%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,September 2024,"4,638","-1,393",-23.1%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,August 2024,"6,031","-4,897",-44.8%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,July 2024,"10,928","-5,138",-32.0%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,June 2024,"16,066","-38,174",-70.4%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,May 2024,"54,240","+45,700",+535.1%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,April 2024,"8,540",+659,+8.4%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
